Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,x coordinate,y coordinate,Location
2018,72,106023,106023,Melbourne (CBD),Angela Torcasio,6931,Legal Services,144.9555651,-37.81329563,"(-37.81329563, 144.9555651)"
2018,48,103625,103625,Melbourne (CBD),Firm Finance,6419,Other Auxiliary Finance and Investment Services,144.9712459,-37.81268556,"(-37.81268556, 144.9712459)"
2018,922,104198,104198,Parkville,The Royal Children's Hostipal Foundation,8512,Specialist Medical Services,144.9516995,-37.79653566,"(-37.79653566, 144.9516995)"
2018,336,102430,102430,North Melbourne,Vacant,0,Vacant Space,144.9432796,-37.8015566,"(-37.8015566, 144.9432796)"
2018,225,108237,108237,Carlton,Cursio Group,6419,Other Auxiliary Finance and Investment Services,144.9710859,-37.79578991,"(-37.79578991, 144.9710859)"
2018,46,105964,105964,Melbourne (CBD),Little Temperance,4512,Takeaway Food Services,144.9675812,-37.81390784,"(-37.81390784, 144.9675812)"
2018,346,103422,103422,North Melbourne,Vacant,0,Vacant Space,144.9494302,-37.8027158,"(-37.8027158, 144.9494302)"
2018,781,110551,110551,Port Melbourne,Vacant,0,Vacant Space,144.9253861,-37.82302799,"(-37.82302799, 144.9253861)"
2018,77,105753,105755,Melbourne (CBD),Vacant,0,Vacant Space,144.9681695,-37.80994367,"(-37.80994367, 144.9681695)"
2018,255,108030,108030,Carlton,Real Diamond,6711,Residential Property Operators,144.9638675,-37.80433096,"(-37.80433096, 144.9638675)"
